Key,Id,English(en),Vietnamese(vi)
NPC_Clara_Greeting1,16,"Hello, you must be the new arrival at the farm, right? I'm Clara.","Chào cậu, cậu là người mới dọn đến nông trại đúng không? Tôi là Clara."
NPC_Clara_Wander,17,"The air in our town is always so fresh. I love taking walks around here.","Không khí ở thị trấn chúng ta lúc nào cũng trong lành. Tôi rất thích đi dạo quanh đây."
NPC_Clara_Advice,18,"If you have some free time, you should walk around town and get to know everyone.","Nếu rảnh rỗi, cậu nên dạo vòng quanh thị trấn để làm quen với mọi người nhé."
NPC_Victor_Greeting1,19,"Hello. I am Dr. Victor. I oversee the health of everyone in this town.","Chào cậu. Tôi là bác sĩ Victor. Tôi phụ trách chăm sóc sức khỏe cho mọi người trong thị trấn này."
NPC_Victor_Advice,20,"Farming is physically demanding. Make sure you don't overexert yourself and pass out in the fields.","Làm nông rất tốn sức. Cậu hãy chú ý nghỉ ngơi, đừng làm việc quá sức đến mức ngất xỉu ngoài đồng đấy."
NPC_Victor_Clinic,21,"If you ever feel unwell, come see me immediately.","Nếu lúc nào cậu cảm thấy không khỏe, hãy đến tìm tôi ngay lập tức."
NPC_Silas_PreForest1,22,"What do you want? Go away, I have nothing for you.","Mày muốn gì? Đi chỗ khác chơi đi, tao không có cái gì cho mày đâu."
NPC_Silas_PreForest2,23,"City kids like you shouldn't be wandering around here. Go back to your shiny farm.","Mấy đứa nhãi thành phố như mày không nên lảng vảng quanh đây. Về lại cái nông trại bóng lộn của mày đi."
NPC_Silas_PreForest3,24,"Stop bothering me. Mind your own business, kid.","Đừng có làm phiền tao nữa. Lo việc của mày đi, nhóc."
NPC_Martha_Normal1,25,"Oh, Richard's child! It's so good to see you returning to the farm. I'm Martha.","Ôi, con của Richard đây sao! Thật tốt khi thấy cháu quay lại nông trại. Cô là Martha."
NPC_Martha_Normal2,26,"Have you seen my boy, Oliver? He is always running around somewhere...","Cháu có thấy Oliver nhà cô đâu không? Thằng bé lúc nào cũng chạy lăng xăng đâu đó..."
NPC_Martha_Normal3,27,"If you ever get hungry from all that farm work, come by. I bake fresh bread every morning.","Nếu làm nông vất vả quá mà thấy đói thì cứ ghé qua nhé. Cô nướng bánh mì tươi mỗi sáng đấy."
NPC_Oliver_Normal1,28,"Wow, you're the new farmer! I'm Oliver. Do you have any cool animals?","Oa, anh là người làm nông mới đến hả! Em là Oliver. Nông trại của anh có con vật nào ngầu không?"
NPC_Oliver_Normal2,29,"Mom tells me not to go near the forest, but I want to explore it!","Mẹ toàn dặn em không được đến gần khu rừng, nhưng em muốn đi khám phá cơ!"
NPC_Oliver_Normal3,30,"When you're not busy digging dirt, let's play together!","Lúc nào anh không bận đào đất thì mình cùng đi chơi nhé!"
NPC_Arthur_MeetTown1,31,"Hello, you are Richard's son, right?","Xin chào, cậu là con trai của Richard đúng không?"
Quest_Arthur_Q1_Offer1,34,"The trip from the city must have been exhausting. Your father's farm is a bit far from here.","Chuyến đi từ thành phố về đây chắc hẳn rất mệt mỏi. Nông trại của cha cậu nằm ở cách đây một đoạn."
Quest_Arthur_Q1_Offer2,35,"Go to the bus station over there and take it to the farm. I will head back first and wait for you there.","Cậu hãy ra trạm xe buýt đằng kia để di chuyển về nông trại nhé. Tôi sẽ đi trước và đợi cậu ở đó."
Quest_Arthur_Q1_InProgress1,36,"The bus station is right over there. Just get on and select the Farm as your destination.","Trạm xe buýt ở ngay kia kìa. Cậu cứ lên xe rồi chọn điểm đến là Nông trại nhé."
Quest_Arthur_Q1_Complete1,37,"You made it. Welcome home.","Cậu đến nơi rồi à. Chào mừng về nhà."
Quest_Arthur_Q2_Offer1,38,"Now that you're here, we should get straight to business.","Bây giờ cậu đã ở đây rồi, chúng ta nên đi thẳng vào công việc thôi."
Quest_Arthur_Q2_Offer2,39,"Your father, Richard, left some old farming tools for you in a chest in the warehouse on the right.","Cha cậu, Richard, có để lại vài nông cụ cũ cho cậu trong một chiếc rương ở nhà kho bên tay phải."
Quest_Arthur_Q2_Offer3,40,"Head over there, open the chest and take them. You will need them to clear this overgrown field.","Hãy qua đó, mở rương và lấy chúng đi. Cậu sẽ cần chúng để dọn dẹp khu đất hoang này đấy."
Quest_Arthur_Q2_InProgress1,41,"The chest is right inside the warehouse on the right. Go get your tools so you can start working.","Chiếc rương ở ngay trong nhà kho bên tay phải. Hãy đi lấy đồ nghề của cậu để còn bắt đầu làm việc."
Quest_Arthur_Q2_Complete1,42,"Excellent. With those tools, you can start breathing life back into this farm.","Tuyệt lắm. Với những công cụ đó, cậu có thể bắt đầu mang lại sức sống cho mảnh đất này rồi."
Quest_Arthur_Q3_Offer1,43,"Now that you have the tools and the wheat seeds I gave you, let's put them to use.","Bây giờ cậu đã có công cụ và những hạt giống lúa mì tôi vừa đưa, hãy đem ra sử dụng nào."
Quest_Arthur_Q3_Offer2,44,"Try tilling the soil and planting 10 wheat seeds on your field.","Cậu hãy thử cuốc đất và gieo 10 hạt giống lúa mì xuống mảnh ruộng của mình xem."
Quest_Arthur_Q3_InProgress1,45,"Use your hoe to till the ground, then plant 10 wheat seeds.","Dùng cuốc để xới đất, sau đó gieo 10 hạt giống lúa mì xuống nhé."
Quest_Arthur_Q3_Complete1,46,"Great job! You're a natural at this, just like your father.","Làm tốt lắm! Cậu có khiếu làm nông đấy, y như cha cậu vậy."
Quest_Arthur_Q4_Offer1,47,"The farm is looking better, but the garden is still quite a mess.","Nông trại trông có vẻ khá hơn rồi đấy, nhưng khu vườn thì vẫn còn bừa bộn lắm."
Quest_Arthur_Q4_Offer2,48,"Just gather up the scattered branches and stones around the garden.","Hãy đi nhặt mấy cành cây khô với đất đá vương vãi quanh vườn cho gọn lại."
Quest_Arthur_Q4_InProgress1,49,"Keep picking up the branches and stones. A clean field is the first step to a successful harvest.","Tiếp tục nhặt cành cây và cục đá đi. Một mảnh ruộng sạch sẽ là bước đầu cho một vụ mùa bội thu đấy."
Quest_Arthur_Q4_Complete1,50,"Excellent work. The place is finally starting to look like a real farm again.","Làm xuất sắc lắm. Nơi này rốt cuộc cũng bắt đầu trông giống một nông trại thực thụ rồi."
Quest_Arthur_Q5_Offer1,51,"Farming takes patience. Now that the seeds are planted, they need time to grow.","Làm nông đòi hỏi sự kiên nhẫn. Hạt đã gieo xong rồi, bây giờ chúng cần thời gian để lớn."
Quest_Arthur_Q5_Offer2,52,"Wait for the wheat to ripen, then harvest them.","Hãy đợi cho đến khi lúa mì chín, sau đó tiến hành thu hoạch chúng nhé."
Quest_Arthur_Q5_InProgress1,53,"Just be patient and wait for the wheat to ripen, then harvest them.","Cậu hãy kiên nhẫn đợi lúa mì chín rồi thu hoạch chúng nhé."
Quest_Arthur_Q5_Complete1,54,"A wonderful first harvest! You are really getting the hang of this.","Vụ mùa đầu tiên tuyệt vời lắm! Cậu thực sự bắt đầu quen việc rồi đấy."
Quest_Arthur_Q6_Offer1,55,"As a reward for your harvest, here are some fruit tree seeds.","Để thưởng cho vụ thu hoạch vừa rồi, đây là một vài hạt giống cây ăn quả dành cho cậu."
Quest_Arthur_Q6_Offer2,56,"Go ahead and plant them in the garden.","Hãy đem chúng đi trồng ở trong vườn nhé."
Quest_Arthur_Q6_InProgress1,57,"Go ahead and plant those fruit tree seeds.","Hãy mau đi trồng những hạt giống cây ăn quả đó đi."
Quest_Arthur_Q6_Complete1,58,"Great. Fruit trees take a while to grow, but they are worth the wait.","Tuyệt lắm. Cây ăn quả sẽ mất một thời gian để lớn, nhưng chúng rất bõ công chờ đợi đấy."
Quest_Arthur_Q7_Offer1,59,"Fruit trees take much longer to grow than wheat. You will need to be patient.","Cây ăn quả cần nhiều thời gian để lớn hơn lúa mì. Cậu sẽ cần phải kiên nhẫn đấy."
Quest_Arthur_Q7_Offer2,60,"Wait until the apple trees mature to harvest the apples. Also, use your axe to chop down the trees to collect wood.","Hãy đợi đến khi cây táo trưởng thành rồi thu hoạch quả nhé. Ngoài ra, hãy dùng rìu chặt cây để thu thập thêm gỗ."
Quest_Arthur_Q7_InProgress1,61,"Just wait for the trees to grow, then harvest the apples and use your axe to chop wood.","Cậu cứ đợi cây lớn, sau đó thu hoạch táo và dùng rìu chặt cây lấy gỗ nhé."
Quest_Arthur_Q7_Complete1,62,"Perfect. Now we have fresh apples and enough wood for future work.","Hoàn hảo. Bây giờ chúng ta đã có táo tươi và đủ gỗ cho công việc sau này rồi."
Quest_Arthur_Q8_Offer1,63,"Here is some stone for your hard work. Now that we have enough wood and stone, let's upgrade the garden.","Đây là một ít đá thưởng cho cậu. Giờ chúng ta đã có đủ gỗ và đá, hãy tiến hành nâng cấp khu vườn nào."
Quest_Arthur_Q8_Offer2,64,"Head over to the Workshop to upgrade and expand the garden area.","Hãy đi đến Nhà xưởng để nâng cấp và mở rộng diện tích khu vườn nhé."
Quest_Arthur_Q8_InProgress1,65,"Take your wood and stone to the Workshop to upgrade the garden.","Hãy mang gỗ và đá đến Nhà xưởng để tiến hành nâng cấp khu vườn đi."
Quest_Arthur_Q8_Complete1,66,"Look at that! The garden is much more spacious now. We can plant a lot more here.","Nhìn xem! Khu vườn giờ đã rộng rãi hơn rất nhiều rồi. Chúng ta có thể trồng thêm nhiều thứ ở đây."
Quest_Arthur_Q9_Offer1,67,"Now that the farm is bigger, you will need money to buy more seeds and supplies.","Bây giờ nông trại đã rộng hơn, cậu sẽ cần tiền để mua thêm hạt giống và vật tư."
Quest_Arthur_Q9_Offer2,68,"Try taking some of your harvested wheat or apples to sell.","Hãy thử mang một ít lúa mì hoặc táo cậu vừa thu hoạch đi bán nhé."
Quest_Arthur_Q9_InProgress1,69,"Take the items you want to sell to the merchant.","Hãy mang những thứ cậu muốn bán đến chỗ thương nhân."
Quest_Arthur_Q9_Complete1,70,"Good job. Earning money is an essential part of running this farm.","Làm tốt lắm. Kiếm tiền là một phần thiết yếu để duy trì nông trại này đấy."
Quest_Arthur_Q10_Offer1,71,"You did well with your first sale. Here, take this watering can. You will need it from now on.","Cậu bán hàng tốt lắm. Đây, cầm lấy chiếc bình tưới nước này. Cậu sẽ cần đến nó từ giờ trở đi đấy."
Quest_Arthur_Q10_Offer2,72,"Watering and using fertilizer will reduce the growing time of your crops. Head over to the old well and unlock it.","Tưới nước và bón phân sẽ giúp rút ngắn thời gian phát triển của cây trồng. Cậu hãy đi tới chỗ giếng nước cũ và mở khóa nó đi."
Quest_Arthur_Q10_InProgress1,73,"Go unlock it, because when your watering can runs out, you will need the well to draw more water.","Hãy đi mở khóa nó đi, vì khi hết nước ở bình thì cậu sẽ cần giếng để múc thêm nước đấy."
Quest_Arthur_Q10_Complete1,74,"Perfect. Now you can use the well to get water.","Hoàn hảo. Bây giờ cậu đã có thể sử dụng giếng để lấy nước rồi."
Quest_Arthur_Q11_Offer1,75,"Here, take this fishing rod. It's always good to have other ways to gather food and materials.","Đây, cậu hãy cầm lấy chiếc cần câu này. Có thêm nhiều cách để thu thập thức ăn và vật liệu thì luôn tốt mà."
Quest_Arthur_Q11_Offer2,76,"Head over to the water and try catching 5 fish.","Hãy ra chỗ có nước và thử câu 5 con cá xem sao."
Quest_Arthur_Q11_InProgress1,77,"Use your fishing rod to catch 5 fish. Be patient!","Hãy dùng cần câu của cậu để bắt 5 con cá nhé. Kiên nhẫn lên!"
Quest_Arthur_Q11_Complete1,78,"Great catch! Fishing is a wonderful way to pass the time while waiting for crops to grow.","Câu khá lắm! Câu cá là một cách tuyệt vời để giết thời gian trong lúc chờ cây trồng lớn đấy."
Quest_Arthur_Q12_Offer1,79,"You have learned the basics of farming, gathering, and fishing. Now it's time to prepare for livestock.","Cậu đã nắm được những kiến thức cơ bản về trồng trọt, thu thập và câu cá rồi. Bây giờ là lúc chuẩn bị cho việc chăn nuôi."
Quest_Arthur_Q12_Offer2,80,"Go and unlock the animal barn. We need a proper place for them to stay.","Hãy đi mở khóa chuồng vật nuôi. Chúng ta cần một chỗ ở tử tế cho chúng."
Quest_Arthur_Q12_InProgress1,81,"Head over and unlock the animal barn.","Hãy tới đó và mở khóa chuồng vật nuôi đi."
Quest_Arthur_Q12_Complete1,82,"You did it! The barn is ready for the animals, but we still need to set up a few more things before they arrive.","Cậu làm được rồi! Chuồng trại đã sẵn sàng cho vật nuôi, nhưng chúng ta vẫn cần thiết lập thêm một vài thứ nữa trước khi chúng tới."
Quest_Arthur_Q13_Offer1,95,"To finish the preparations, you need to build a feeding trough for the animals.","Để hoàn tất việc chuẩn bị, cậu cần phải xây dựng một cái máng ăn cho vật nuôi."
Quest_Arthur_Q13_Offer2,96,"If you don't, the animals will eat the crops in your garden. Also, you should build fences to keep them from wandering around.","Nếu không có máng ăn, động vật sẽ ăn cây trong vườn của cậu đấy. Ngoài ra, hãy xây hàng rào để tránh chúng đi lung tung nhé."
Quest_Arthur_Q13_InProgress1,97,"Go build a feeding trough to protect your crops. And remember, fences will keep the animals from wandering around.","Hãy đi xây máng ăn để bảo vệ cây trồng đi. Và nhớ xây thêm hàng rào để tránh chúng đi lung tung nhé."
Quest_Arthur_Q13_Complete1,98,"Excellent work! Your farm is now safe and truly complete. I will take my leave now. Good luck!","Làm tốt lắm! Nông trại của cậu bây giờ đã an toàn và thực sự hoàn thiện rồi. Tôi xin phép rời đi đây. Chúc cậu may mắn!"
Quest_Clara_Radish_Offer1,240,"Hello there! Oh, perfect timing. Do you happen to have any radishes growing on your farm?","Chào cậu! Ôi gặp đúng lúc quá. Ở nông trại của cậu có trồng củ cải không thế?"
Quest_Clara_Radish_Offer2,241,"I'm making my special stew today, but the ones at the market are all wilted. If you have some, could you spare a few fresh ones?","Hôm nay tôi định nấu món hầm đặc biệt, nhưng ngoài chợ toàn củ héo thôi. Nếu có, cậu để lại cho tôi vài củ tươi nhé?"
Quest_Clara_Radish_InProgress1,242,"Still waiting on those radishes! The stew pot is already boiling.","Vẫn đang đợi số củ cải đó nhé! Nồi hầm của tôi sôi sùng sục rồi đây này."
Quest_Clara_Radish_Complete1,243,"Oh, these are so crisp and fresh! Thank you so much. Here, take this for your hard work.","Ồ, chúng giòn và tươi quá! Cảm ơn cậu rất nhiều. Đây, gửi cậu chút quà trả công nhé."
Quest_Clara_Potato_Offer1,247,"Oh, hello again! That stew was delicious. You wouldn't happen to be growing potatoes too, would you?","Ồ, lại gặp cậu rồi! Món hầm lần trước ngon lắm. Cậu không trồng cả khoai tây đấy chứ?"
Quest_Clara_Potato_Offer2,248,"I'm thinking of making baked potatoes for dinner. If you harvest any, could you bring some over?","Tôi đang tính làm món khoai tây nướng cho bữa tối. Nếu cậu thu hoạch được củ nào thì mang qua cho tôi nhé?"
Quest_Clara_Potato_InProgress1,249,"Still haven't found any good potatoes yet. Take your time, there's no rush today.","Tôi vẫn chưa tìm được chỗ khoai tây nào ưng ý cả. Cứ từ từ nhé, hôm nay không vội đâu."
Quest_Clara_Potato_Complete1,250,"Look at these! Big and firm. Your farm soil must be magical. Thanks again!","Nhìn chúng xem! To và chắc nịch. Đất vườn nhà cậu chắc có phép thuật rồi. Cảm ơn cậu lần nữa nhé!"
Quest_Clara_Mango_Offer1,254,"Hello again! Say, do you happen to have any mango trees on your farm?","Chào cậu! À này, ở nông trại của cậu có trồng cây xoài nào không thế?"
Quest_Clara_Mango_Offer2,255,"I'm craving something sweet for dessert today. If you harvest any ripe mangoes, could you bring a few over?","Hôm nay tôi tự dưng thèm đồ ngọt quá. Nếu cậu thu hoạch được quả xoài chín nào thì mang qua cho tôi vài quả nhé?"
Quest_Clara_Mango_InProgress1,256,"No rush on those mangoes. Just bring them over whenever they're ready.","Không vội vụ xoài đâu nhé. Lúc nào chúng chín thì cậu cứ mang qua là được."
Quest_Clara_Mango_Complete1,257,"Oh, these smell amazing! Perfectly ripe. Thank you so much!","Ồ, chúng thơm quá đi mất! Chín tới vừa đẹp luôn. Cảm ơn cậu rất nhiều nhé!"
