Key,Id,English(en),Vietnamese(vi)
Quest_Desc_Q10,218,"I need to unlock the old well to have a water source for my watering can. Watering helps crops grow faster.","Tôi cần mở khóa chiếc giếng cũ để có nguồn nước cho bình tưới. Tưới nước giúp cây lớn nhanh hơn."
Quest_Action_Desc_Q10,219,"Unlock the old well.","Mở khóa chiếc giếng cũ."
Quest_Desc_Q11,220,"Arthur gave me a fishing rod. I should try my luck and catch some fish.","Arthur đã cho tôi một chiếc cần câu. Tôi nên thử vận may và câu vài con cá."
Quest_Action_Desc_Q11,221,"Catch 5 fish.","Câu 5 con cá."
Quest_Desc_Q12,222,"It's time to prepare for livestock. I need to unlock the animal barn.","Đã đến lúc chuẩn bị cho việc chăn nuôi. Tôi cần mở khóa chuồng vật nuôi."
Quest_Action_Desc_Q12,223,"Unlock the animal barn.","Mở khóa chuồng vật nuôi."
Quest_Desc_Q13,224,"To protect the crops, I must build a feeding trough and fences for the animals before they arrive.","Để bảo vệ cây trồng, tôi phải xây dựng máng ăn và hàng rào cho động vật trước khi chúng tới."
Quest_Action_Desc_Q13,225,"Build a feeding trough and fences.","Xây dựng máng ăn và hàng rào."
Quest_Title_Homeless_Wood,230,"A Warm Fire","Ngọn Lửa Sưởi Ấm"
Quest_Desc_Homeless_Wood,231,"A homeless man in the forest needs some sturdy forest wood to stay warm.","Người vô gia cư trong rừng cần một ít gỗ rừng chắc chắn để sưởi ấm."
Quest_Action_Desc_Homeless_Wood,232,"Gather and give forest wood to the homeless man.","Thu thập và đưa gỗ rừng cho người vô gia cư."
Quest_Title_Homeless_Fish,237,"The Forest Catch","Món Cá Rừng"
Quest_Desc_Homeless_Fish,238,"Catch some unique fish from the forest lake to share a warm meal with the homeless man.","Câu một ít cá từ hồ nước trong rừng để chia sẻ một bữa ăn ấm cúng với người vô gia cư."
Quest_Action_Desc_Homeless_Fish,239,"Catch and give forest fish to the homeless man.","Câu và đưa cá rừng cho người vô gia cư."
Quest_Title_Clara_Radish,244,"Fresh Radishes","Củ Cải Tươi"
Quest_Desc_Clara_Radish,245,"Clara needs some fresh radishes from my farm to make her special stew.","Clara cần một ít củ cải tươi từ vườn của tôi để nấu món hầm đặc biệt."
Quest_Action_Desc_Clara_Radish,246,"Harvest and give radishes to Clara.","Thu hoạch và đưa củ cải cho Clara."
Quest_Title_Clara_Potato,251,"Baked Potatoes","Món Khoai Tây Nướng"
Quest_Desc_Clara_Potato,252,"Clara wants some potatoes from my farm to make baked potatoes for dinner.","Clara muốn một ít khoai tây từ nông trại của tôi để làm món khoai tây nướng cho bữa tối."
Quest_Action_Desc_Clara_Potato,253,"Harvest and give potatoes to Clara.","Thu hoạch và đưa khoai tây cho Clara."
Quest_Title_Clara_Mango,258,"Sweet Mangoes","Những Quả Xoài Ngọt"
Quest_Desc_Clara_Mango,259,"Clara wants some ripe mangoes from my farm for dessert.","Clara muốn một ít xoài chín từ nông trại của tôi để làm món tráng miệng."
Quest_Action_Desc_Clara_Mango,260,"Harvest and give mangoes to Clara.","Thu hoạch và đưa xoài cho Clara."
